index,Course,Grade,Section_Grade,Course_Type,Cluster
120,English I Honors,9,95.36,English,1
121,Spanish II Honors,9,93.21,Foreign Language,0
122,Geometry,9,84.02,Math,2
123,Chemistry,9,96.26,Science,1
124,Human Geography AP,9,86.68,Humanities,0
125,English I Honors,9,97.67,English,1
126,Spanish II Honors,9,94.32,Foreign Language,1
127,Geometry Honors,9,96.51,Math,1
128,Chemistry Honors,9,90.71,Science,0
129,World History AP,9,98.37,Humanities,1
130,English I Honors,9,83.8,English,2
131,Spanish IV Honors - Heritage Speakers,9,96.41,Foreign Language,1
132,Geometry,9,79.1,Math,2
133,Chemistry,9,87.5,Science,0
134,Human Geography AP,9,81.53,Humanities,2
135,English I Honors,9,89.83,English,0
136,Chinese II Honors,9,90.25,Foreign Language,0
137,Geometry Honors,9,89.77,Math,0
138,Chemistry Honors,9,81.56,Science,2
139,Human Geography AP,9,91.11,Humanities,0
140,English I Honors,9,95.15,English,1
141,Latin I Honors,9,88.26,Foreign Language,0
142,Geometry,9,87.92,Math,0
143,Computer Science Principles AP,9,90.02,Science,0
144,Chemistry,9,96.98,Science,1
145,Human Geography AP,9,91.71,Humanities,0
146,English I Honors,9,97.62,English,1
147,Spanish II Honors,9,97.95,Foreign Language,1
148,Geometry Honors,9,91.13,Math,0
149,Chemistry Honors,9,95.84,Science,1
150,World History AP,9,97.96,Humanities,1
151,English I Honors,9,93.18,English,0
152,Spanish II Honors,9,95.56,Foreign Language,1
153,Geometry Honors,9,94.83,Math,1
154,Chemistry Honors,9,92.77,Science,0
155,World History AP,9,89.18,Humanities,0
156,English I Honors,9,91.62,English,0
157,Spanish II Honors,9,87.53,Foreign Language,0
158,Geometry Honors,9,87.19,Math,0
159,Computer Science Principles AP,9,97.69,Science,1
160,Chemistry Honors,9,90.57,Science,0
161,Human Geography AP,9,89.08,Humanities,0
162,English I Honors,9,94.65,English,1
163,Spanish II Honors,9,90.47,Foreign Language,0
164,Geometry Honors,9,89.66,Math,0
165,Chemistry Honors,9,86.54,Science,2
166,Human Geography AP,9,81.55,Humanities,2
167,English I Honors,9,94.71,English,1
168,Latin I Honors,9,99.25,Foreign Language,1
169,Geometry Honors,9,91.6,Math,0
170,Computer Science Principles AP,9,96.38,Science,1
171,Chemistry Honors,9,89.39,Science,0
172,Human Geography AP,9,94.84,Humanities,1
173,English I Honors,9,93.12,English,0
174,Spanish II Honors,9,93.4,Foreign Language,1
175,Geometry,9,94.84,Math,1
176,Computer Science Principles AP,9,89.95,Science,0
177,Chemistry,9,97.08,Science,1
178,Human Geography AP,9,92.14,Humanities,0
179,English I Honors,9,97.18,English,1
180,Latin I Honors,9,98.35,Foreign Language,1
181,Geometry,9,92.29,Math,0
182,Computer Science Principles AP,9,87.7,Science,0
183,Chemistry,9,94.07,Science,1
184,Human Geography AP,9,89.4,Humanities,0
185,English I Honors,9,87.7,English,0
186,Spanish II,9,87.25,Foreign Language,0
187,Geometry,9,85.0,Math,2
188,Chemistry,9,85.47,Science,2
189,Modern World Honors: 1750 to the Present,9,90.55,Humanities,0
190,English I Honors,9,95.15,English,1
191,French II,9,84.79,Foreign Language,2
192,Geometry,9,82.29,Math,2
193,Chemistry,9,90.15,Science,0
194,Modern World Honors: 1750 to the Present,9,94.57,Humanities,1
195,English I Honors,9,96.65,English,1
196,Spanish II Honors,9,94.59,Foreign Language,1
197,Geometry Honors,9,85.07,Math,2
198,Computer Science Principles AP,9,91.11,Science,0
199,Chemistry Honors,9,84.62,Science,2
200,World History AP,9,89.8,Humanities,0
201,English I Honors,9,88.95,English,0
202,Spanish II Honors,9,87.98,Foreign Language,0
203,Geometry Honors,9,79.93,Math,2
204,Chemistry,9,93.12,Science,0
205,Human Geography AP,9,82.41,Humanities,2
206,English I Honors,9,89.85,English,0
207,Spanish II Honors,9,87.61,Foreign Language,0
208,Geometry,9,93.61,Math,1
209,Chemistry,9,88.71,Science,0
210,Human Geography AP,9,88.2,Humanities,0
211,English I Honors,9,96.46,English,1
212,Spanish II Honors,9,97.33,Foreign Language,1
213,Geometry Honors,9,98.02,Math,1
214,Chemistry Honors,9,98.44,Science,1
215,Human Geography AP,9,95.35,Humanities,1
216,English I Honors,9,91.0,English,0
217,Spanish II Honors,9,91.0,Foreign Language,0
218,Geometry Honors,9,91.66,Math,0
219,Computer Science Principles AP,9,96.94,Science,1
220,Chemistry Honors,9,90.38,Science,0
221,Human Geography AP,9,94.75,Humanities,1
222,English I Honors,9,98.5,English,1
223,Latin I Honors,9,98.55,Foreign Language,1
224,Pre-Calculus Honors,9,93.75,Math,1
225,Computer Science Principles AP,9,97.45,Science,1
226,Chemistry Honors,9,93.19,Science,0
227,World History AP,9,96.73,Humanities,1
228,English I Honors,9,95.9,English,1
229,"Great Decisions, Character, and Consequences",9,100.0,Psychology,1
230,Spanish II,9,97.85,Foreign Language,1
231,Algebra II Honors,9,95.37,Math,1
232,Chemistry Honors,9,95.84,Science,1
233,Human Geography AP,9,97.69,Humanities,1
234,English I Honors,9,81.75,English,2
235,"Great Decisions, Character, and Consequences",9,100.0,Psychology,1
236,Spanish II,9,87.56,Foreign Language,0
237,Geometry,9,78.4,Math,2
238,Chemistry,9,82.55,Science,2
239,Modern World Honors: 1750 to the Present,9,92.18,Humanities,0
240,English I Honors,9,98.24,English,1
241,Spanish II Honors,9,93.34,Foreign Language,0
242,Geometry,9,94.66,Math,1
243,Chemistry,9,97.67,Science,1
244,World History AP,9,94.9,Humanities,1
245,English I Honors,9,95.9,English,1
246,Spanish II,9,95.21,Foreign Language,1
247,Geometry Honors,9,81.62,Math,2
248,Chemistry Honors,9,84.41,Science,2
249,World History AP,9,99.18,Humanities,1
250,English I Honors,9,90.57,English,0
251,Spanish II Honors,9,81.18,Foreign Language,2
252,Geometry,9,86.35,Math,2
253,Chemistry,9,94.49,Science,1
254,Modern World Honors: 1750 to the Present,9,91.78,Humanities,0
255,English I Honors,9,87.31,English,0
256,Latin I Honors,9,97.43,Foreign Language,1
257,Geometry Honors,9,88.15,Math,0
258,Computer Science Principles AP,9,95.38,Science,1
259,Chemistry Honors,9,86.89,Science,0
260,Human Geography AP,9,93.27,Humanities,0
261,English I Honors,9,92.5,English,0
262,Spanish I,9,85.08,Foreign Language,2
263,Geometry,9,77.01,Math,2
264,Chemistry,9,90.24,Science,0
265,Modern World Honors: 1750 to the Present,9,94.54,Humanities,1
266,English I Honors,9,90.3,English,0
267,Latin I Honors,9,98.7,Foreign Language,1
268,Geometry Honors,9,84.88,Math,2
269,Chemistry Honors,9,89.72,Science,0
270,Human Geography AP,9,89.25,Humanities,0
271,English I Honors,9,96.83,English,1
272,"Great Decisions, Character, and Consequences",9,100.0,Psychology,1
273,Spanish II Honors,9,94.5,Foreign Language,1
274,Geometry Honors,9,92.68,Math,0
275,Chemistry Honors,9,90.52,Science,0
276,World History AP,9,98.37,Humanities,1
277,English I Honors,9,87.39,English,0
278,Spanish I,9,95.95,Foreign Language,1
279,Geometry,9,91.07,Math,0
280,Chemistry,9,91.42,Science,0
281,Human Geography AP,9,89.09,Humanities,0
282,English I Honors,9,92.85,English,0
283,Chinese II Honors,9,85.18,Foreign Language,2
284,Geometry Honors,9,82.86,Math,2
285,Chemistry,9,91.08,Science,0
286,Human Geography AP,9,84.86,Humanities,2
287,English I Honors,9,94.23,English,1
288,Chinese II Honors,9,91.21,Foreign Language,0
289,Geometry Honors,9,92.69,Math,0
290,Computer Science Principles AP,9,95.44,Science,1
291,Chemistry Honors,9,89.53,Science,0
292,Human Geography AP,9,91.86,Humanities,0
293,English I Honors,9,96.09,English,1
294,Spanish II Honors,9,94.45,Foreign Language,1
295,Geometry Honors,9,96.53,Math,1
296,Computer Science Principles AP,9,97.54,Science,1
297,Chemistry Honors,9,95.71,Science,1
298,World History AP,9,98.57,Humanities,1
299,English I Honors,9,94.8,English,1
300,Latin I Honors,9,95.8,Foreign Language,1
301,Geometry Honors,9,94.0,Math,1
302,Chemistry,9,100.6,Science,1
303,Human Geography AP,9,91.2,Humanities,0
304,English I Honors,9,83.94,English,2
305,Chinese II,9,93.35,Foreign Language,0
306,Geometry,9,90.04,Math,0
307,Chemistry,9,89.93,Science,0
308,Human Geography AP,9,92.31,Humanities,0
309,English I Honors,9,85.49,English,2
310,Spanish II,9,89.57,Foreign Language,0
311,Geometry,9,89.85,Math,0
312,Chemistry,9,84.46,Science,2
313,Human Geography AP,9,87.61,Humanities,0
314,English I Honors,9,96.5,English,1
315,French II Honors,9,93.51,Foreign Language,1
316,Geometry,9,99.45,Math,1
317,Chemistry,9,103.7,Science,1
318,Human Geography AP,9,93.99,Humanities,1
319,English I Honors,9,90.14,English,0
320,French II Honors,9,86.33,Foreign Language,2
321,Geometry Honors,9,83.31,Math,2
322,Computer Science Principles AP,9,94.42,Science,1
323,Chemistry,9,98.2,Science,1
324,Human Geography AP,9,89.4,Humanities,0
325,English I Honors,9,87.74,English,0
326,Latin I Honors,9,96.98,Foreign Language,1
327,Geometry,9,93.19,Math,0
328,Computer Science Principles AP,9,96.49,Science,1
329,Chemistry,9,96.98,Science,1
330,Human Geography AP,9,94.27,Humanities,1
331,English I Honors,9,89.76,English,0
332,Spanish II,9,92.55,Foreign Language,0
333,Geometry Honors,9,90.61,Math,0
334,Computer Science Principles AP,9,98.74,Science,1
335,Chemistry Honors,9,89.52,Science,0
336,Human Geography AP,9,89.1,Humanities,0
337,English I Honors,9,83.05,English,2
338,Latin I Honors,9,94.35,Foreign Language,1
339,Geometry,9,89.52,Math,0
340,Computer Science Principles AP,9,89.03,Science,0
341,Chemistry,9,87.88,Science,0
342,Modern World Honors: 1750 to the Present,9,93.17,Humanities,0
343,English I Honors,9,89.67,English,0
344,French II,9,90.86,Foreign Language,0
345,Geometry Honors,9,81.92,Math,2
346,Chemistry,9,91.12,Science,0
347,Human Geography AP,9,89.61,Humanities,0
348,English I Honors,9,97.19,English,1
349,French II Honors,9,93.56,Foreign Language,1
350,Geometry Honors,9,94.3,Math,1
351,Chemistry Honors,9,96.75,Science,1
352,World History AP,9,95.1,Humanities,1
353,English I Honors,9,88.2,English,0
354,Spanish II Honors,9,97.18,Foreign Language,1
355,Geometry Honors,9,92.71,Math,0
356,Computer Science Principles AP,9,95.17,Science,1
357,Chemistry Honors,9,89.81,Science,0
358,Human Geography AP,9,93.68,Humanities,1
359,English I Honors,9,91.62,English,0
360,Spanish II Honors,9,95.33,Foreign Language,1
361,Geometry Honors,9,85.81,Math,2
362,Computer Science Principles AP,9,89.2,Science,0
363,Chemistry Honors,9,83.82,Science,2
364,World History AP,9,93.88,Humanities,1
365,English I Honors,9,96.59,English,1
366,Spanish II Honors,9,97.77,Foreign Language,1
367,Geometry Honors,9,91.04,Math,0
368,Computer Science Principles AP,9,91.6,Science,0
369,Chemistry Honors,9,89.46,Science,0
370,World History AP,9,92.45,Humanities,0
371,English I Honors,9,82.5,English,2
372,"Great Decisions, Character, and Consequences",9,100.0,Psychology,1
373,Spanish II,9,84.63,Foreign Language,2
374,Geometry,9,77.34,Math,2
375,Chemistry,9,84.27,Science,2
376,Modern World Honors: 1750 to the Present,9,93.04,Humanities,0
377,English I Honors,9,82.29,English,2
378,Spanish II Honors,9,90.44,Foreign Language,0
379,Geometry,9,91.19,Math,0
380,Chemistry,9,90.4,Science,0
381,Human Geography AP,9,89.01,Humanities,0
382,English I Honors,9,94.09,English,1
383,Spanish II Honors,9,97.51,Foreign Language,1
384,Geometry,9,96.62,Math,1
385,Computer Science Principles AP,9,89.05,Science,0
386,Chemistry,9,95.1,Science,1
387,Human Geography AP,9,93.45,Humanities,1
388,English I Honors,9,87.31,English,0
389,Spanish IV Honors - Heritage Speakers,9,95.33,Foreign Language,1
390,Geometry Honors,9,86.15,Math,2
391,Computer Science Principles AP,9,93.37,Science,0
392,Chemistry Honors,9,87.67,Science,0
393,Human Geography AP,9,94.35,Humanities,1
394,English I Honors,9,93.64,English,1
395,Spanish II Honors,9,97.24,Foreign Language,1
396,Geometry Honors,9,96.65,Math,1
397,Chemistry Honors,9,93.83,Science,1
398,World History AP,9,95.1,Humanities,1
399,English I Honors,9,91.99,English,0
400,Spanish IV Honors - Heritage Speakers,9,95.49,Foreign Language,1
401,Geometry Honors,9,87.6,Math,0
402,Computer Science Principles AP,9,90.97,Science,0
403,Chemistry,9,98.74,Science,1
404,World History AP,9,97.14,Humanities,1
405,English I Honors,9,95.34,English,1
406,Spanish IV Honors - Heritage Speakers,9,96.77,Foreign Language,1
407,Geometry Honors,9,87.43,Math,0
408,Computer Science Principles AP,9,92.38,Science,0
409,Chemistry Honors,9,89.46,Science,0
410,Human Geography AP,9,90.35,Humanities,0
411,English I Honors,9,87.9,English,0
412,Spanish II Honors,9,93.32,Foreign Language,0
413,Geometry,9,92.55,Math,0
414,Chemistry Honors,9,81.23,Science,2
415,Human Geography AP,9,90.79,Humanities,0
416,English I Honors,9,95.68,English,1
417,Spanish II Honors,9,90.8,Foreign Language,0
418,Geometry Honors,9,83.52,Math,2
419,Chemistry Honors,9,90.05,Science,0
420,World History AP,9,95.92,Humanities,1
421,English I Honors,9,94.97,English,1
422,Latin I Honors,9,86.45,Foreign Language,2
423,Geometry Honors,9,91.98,Math,0
424,Computer Science Principles AP,9,95.02,Science,1
425,Chemistry Honors,9,89.99,Science,0
426,Human Geography AP,9,91.78,Humanities,0
427,English I Honors,9,89.6,English,0
428,Spanish II,9,92.63,Foreign Language,0
429,Geometry Honors,9,89.67,Math,0
430,Chemistry Honors,9,92.65,Science,0
431,World History AP,9,93.88,Humanities,1
432,English I Honors,9,94.6,English,1
433,Chinese II Honors,9,92.12,Foreign Language,0
434,Geometry Honors,9,90.37,Math,0
435,Chemistry Honors,9,89.66,Science,0
436,World History AP,9,99.18,Humanities,1
437,English I Honors,9,95.16,English,1
438,"Great Decisions, Character, and Consequences",9,100.0,Psychology,1
439,Spanish II Honors,9,97.39,Foreign Language,1
440,Pre-Calculus Honors,9,95.12,Math,1
441,Chemistry Honors,9,96.42,Science,1
442,World History AP,9,98.78,Humanities,1
443,English I Honors,9,96.56,English,1
444,Latin I Honors,9,96.96,Foreign Language,1
445,Geometry,9,97.6,Math,1
446,Chemistry,9,102.96,Science,1
447,Human Geography AP,9,91.93,Humanities,0
448,English I Honors,9,87.52,English,0
449,Spanish IV Honors - Heritage Speakers,9,91.37,Foreign Language,0
450,Geometry,9,88.45,Math,0
451,Computer Science Principles AP,9,92.73,Science,0
452,Chemistry,9,94.5,Science,1
453,Modern World Honors: 1750 to the Present,9,92.83,Humanities,0
454,English I Honors,9,89.64,English,0
455,Spanish II Honors,9,97.57,Foreign Language,1
456,Geometry,9,93.88,Math,1
457,Chemistry,9,97.41,Science,1
458,Human Geography AP,9,90.28,Humanities,0
459,English I Honors,9,94.14,English,1
460,Spanish II Honors,9,93.0,Foreign Language,0
461,Geometry Honors,9,90.97,Math,0
462,Chemistry Honors,9,91.84,Science,0
463,World History AP,9,97.35,Humanities,1
464,English I Honors,9,90.5,English,0
465,French II Honors,9,86.23,Foreign Language,2
466,Geometry Honors,9,88.22,Math,0
467,Computer Science Principles AP,9,95.98,Science,1
468,Chemistry Honors,9,89.75,Science,0
469,Human Geography AP,9,96.52,Humanities,1
470,English I Honors,9,95.5,English,1
471,Spanish II,9,89.97,Foreign Language,0
472,Geometry Honors,9,85.75,Math,2
473,Computer Science Principles AP,9,96.04,Science,1
474,Chemistry,9,95.94,Science,1
475,Modern World Honors: 1750 to the Present,9,97.17,Humanities,1
476,English I Honors,9,93.96,English,1
477,Spanish II,9,93.24,Foreign Language,0
478,Pre-Calculus Honors,9,91.22,Math,0
479,Chemistry Honors,9,92.85,Science,0
480,Human Geography AP,9,95.85,Humanities,1
481,English I Honors,9,93.01,English,0
482,Latin I Honors,9,91.3,Foreign Language,0
483,Geometry Honors,9,83.33,Math,2
484,Chemistry,9,93.69,Science,1
485,Human Geography AP,9,91.04,Humanities,0
486,English I Honors,9,82.59,English,2
487,Spanish II Honors,9,83.37,Foreign Language,2
488,Geometry,9,90.53,Math,0
489,Computer Science Principles AP,9,86.1,Science,2
490,Chemistry,9,91.66,Science,0
491,Human Geography AP,9,85.32,Humanities,2
492,English I Honors,9,92.86,English,0
493,Spanish II,9,97.31,Foreign Language,1
494,Geometry Honors,9,87.73,Math,0
495,Computer Science Principles AP,9,93.97,Science,1
496,Chemistry Honors,9,89.99,Science,0
497,Human Geography AP,9,96.8,Humanities,1
498,English I Honors,9,92.61,English,0
499,Spanish II,9,94.74,Foreign Language,1
500,Geometry,9,91.69,Math,0
501,Computer Science Principles AP,9,87.07,Science,0
502,Chemistry,9,95.04,Science,1
503,Human Geography AP,9,94.02,Humanities,1
504,English I Honors,9,96.28,English,1
505,Spanish II Honors,9,97.57,Foreign Language,1
506,Geometry Honors,9,89.59,Math,0
507,Chemistry Honors,9,92.59,Science,0
508,World History AP,9,97.14,Humanities,1
509,English I Honors,9,99.05,English,1
510,Spanish IV Honors - Heritage Speakers,9,99.42,Foreign Language,1
511,Geometry Honors,9,92.68,Math,0
512,Chemistry Honors,9,93.76,Science,1
513,World History AP,9,99.39,Humanities,1
514,English I Honors,9,90.6,English,0
515,Spanish I,9,92.95,Foreign Language,0
516,Geometry,9,79.53,Math,2
517,Chemistry,9,82.04,Science,2
518,Modern World Honors: 1750 to the Present,9,94.07,Humanities,1
519,English I Honors,9,92.54,English,0
520,French II,9,85.33,Foreign Language,2
521,Geometry Honors,9,89.59,Math,0
522,Chemistry Honors,9,85.25,Science,2
523,World History AP,9,91.63,Humanities,0
524,English I Honors,9,82.97,English,2
525,Spanish II,9,94.58,Foreign Language,1
526,Geometry Honors,9,89.54,Math,0
527,Human Geography AP,9,91.29,Humanities,0
528,English I Honors,9,96.56,English,1
529,Latin I Honors,9,99.14,Foreign Language,1
530,Geometry Honors,9,87.08,Math,0
531,Chemistry,9,93.37,Science,0
532,Human Geography AP,9,92.05,Humanities,0
533,English I Honors,9,88.64,English,0
534,French II Honors,9,86.68,Foreign Language,0
535,Geometry Honors,9,92.5,Math,0
536,Computer Science Principles AP,9,97.48,Science,1
537,Chemistry Honors,9,89.85,Science,0
538,Human Geography AP,9,92.86,Humanities,0
539,English I Honors,9,91.9,English,0
540,Spanish II,9,92.83,Foreign Language,0
541,Geometry Honors,9,95.9,Math,1
542,Computer Science Principles AP,9,91.79,Science,0
543,Chemistry Honors,9,85.05,Science,2
544,Human Geography AP,9,93.3,Humanities,0
545,English I Honors,9,94.73,English,1
546,Chinese III Honors,9,95.29,Foreign Language,1
547,Pre-Calculus Honors,9,95.85,Math,1
548,Computer Science Principles AP,9,99.04,Science,1
549,Chemistry Honors,9,97.15,Science,1
550,World History AP,9,96.73,Humanities,1
551,English I Honors,9,92.64,English,0
552,Latin I Honors,9,89.55,Foreign Language,0
553,Geometry,9,87.66,Math,0
554,Computer Science Principles AP,9,85.81,Science,2
555,Chemistry,9,90.08,Science,0
556,Human Geography AP,9,88.73,Humanities,0
557,English I Honors,9,98.06,English,1
558,Spanish II Honors,9,97.94,Foreign Language,1
559,Pre-Calculus Honors,9,94.88,Math,1
560,Chemistry Honors,9,98.31,Science,1
561,World History AP,9,99.59,Humanities,1
562,English I Honors,9,96.56,English,1
563,Latin I Honors,9,98.53,Foreign Language,1
564,Algebra II Honors,9,95.04,Math,1
565,Chemistry Honors,9,94.73,Science,1
566,Human Geography AP,9,94.55,Humanities,1
567,English I Honors,9,95.43,English,1
568,Spanish II Honors,9,97.42,Foreign Language,1
569,Geometry Honors,9,95.33,Math,1
570,Chemistry Honors,9,94.89,Science,1
571,World History AP,9,93.67,Humanities,1
572,English I Honors,9,96.81,English,1
573,Spanish IV Honors - Heritage Speakers,9,96.14,Foreign Language,1
574,Pre-Calculus Honors,9,90.41,Math,0
575,Computer Science Principles AP,9,96.19,Science,1
576,Chemistry Honors,9,94.03,Science,1
577,World History AP,9,92.86,Humanities,0
578,English I Honors,9,93.55,English,1
579,Chinese II Honors,9,87.29,Foreign Language,0
580,Geometry,9,94.12,Math,1
581,Chemistry,9,94.42,Science,1
582,Human Geography AP,9,83.19,Humanities,2
583,English I Honors,9,86.71,English,0
584,Chinese II,9,96.1,Foreign Language,1
585,Geometry,9,88.22,Math,0
586,Chemistry,9,93.7,Science,1
587,Modern World Honors: 1750 to the Present,9,95.32,Humanities,1
588,English I Honors,9,93.57,English,1
589,Chinese II Honors,9,93.91,Foreign Language,1
590,Geometry,9,95.01,Math,1
591,Chemistry,9,99.37,Science,1
592,Human Geography AP,9,92.16,Humanities,0
593,English I Honors,9,94.07,English,1
594,Latin I Honors,9,97.53,Foreign Language,1
595,Geometry Honors,9,89.88,Math,0
596,Computer Science Principles AP,9,96.28,Science,1
597,Chemistry Honors,9,96.51,Science,1
598,Human Geography AP,9,90.04,Humanities,0
599,English I Honors,9,98.37,English,1
600,Spanish II Honors,9,98.61,Foreign Language,1
601,Geometry Honors,9,97.35,Math,1
602,Chemistry Honors,9,96.68,Science,1
603,World History AP,9,100.2,Humanities,1
604,English I Honors,9,96.56,English,1
605,Spanish II Honors,9,94.51,Foreign Language,1
606,Geometry,9,95.4,Math,1
607,Chemistry,9,95.45,Science,1
608,Human Geography AP,9,91.87,Humanities,0
609,English I Honors,9,90.32,English,0
610,Spanish IV Honors - Heritage Speakers,9,95.29,Foreign Language,1
611,Geometry Honors,9,83.13,Math,2
612,Computer Science Principles AP,9,92.29,Science,0
613,Chemistry Honors,9,82.56,Science,2
614,Human Geography AP,9,92.86,Humanities,0
615,English I Honors,9,93.09,English,0
616,Spanish II Honors,9,90.28,Foreign Language,0
617,Geometry Honors,9,88.16,Math,0
618,Computer Science Principles AP,9,94.22,Science,1
619,Chemistry Honors,9,84.88,Science,2
620,Human Geography AP,9,91.74,Humanities,0
621,English I Honors,9,85.94,English,2
622,Fundamentals of Music Theory,9,98.48,Arts,1
623,Latin I Honors,9,95.58,Foreign Language,1
624,Geometry Honors,9,83.44,Math,2
625,Chemistry,9,96.3,Science,1
626,Human Geography AP,9,84.27,Humanities,2
627,English I Honors,9,97.71,English,1
628,Spanish IV Honors - Heritage Speakers,9,97.83,Foreign Language,1
629,Geometry Honors,9,83.81,Math,2
630,Computer Science Principles AP,9,94.33,Science,1
631,Chemistry Honors,9,84.95,Science,2
632,World History AP,9,93.27,Humanities,0
633,English I Honors,9,96.65,English,1
634,Spanish II Honors,9,93.4,Foreign Language,1
635,Geometry Honors,9,82.73,Math,2
636,Computer Science Principles AP,9,89.56,Science,0
637,Chemistry,9,90.73,Science,0
